Identifier,MergeCode,Country,ISO,Reg,Inc,Source,Calendar year (nearest),Problem 1: Data Not Credible,Problem 2: Cannot Exclude Resource Revenue Tax Categories,Problem 3: Data is of Questionable Analytical Comparability,Problem 4: Cannot Exclude Resource Revenue from Sub-Components of Total Tax Revenue,"Treat with Caution 1: Un-excluded Resource Revenue are Marginal, but Non-Negligible",Treat With Caution 2: Data of somewhat questionable quality,Revenue including social contributions,Revenue excluding social contributions,Revenue excluding Grants (including social contributions),Revenue excluding grants and social contributions,Total Resource Revenue,Total Non-Resource Revenue including social contributions,Taxes including social contributions,Taxes excluding social contributions,Resource taxes,Non-Resource tax including social contributions,Non-resource tax excluding social contributions,Direct taxes including social contributions and resource revenue,"Direct taxes including social contributions, excluding resource revenue","Direct taxes excluding social contributions, including resource revenue",Direct taxes excluding social contributions and resource revenue,"Taxes on income, profits, and capital gains ","Resource Component of Taxes on income, profits, and capital gains","Non-resource component of taxes on income, profits, and capital gains",Individuals ,Corporations and other enterprises ,Resource Component of Corporations and other enterprises,Non-resource component of Corporations and other enterprises,Taxes on payroll and workforce,Taxes on property,Indirect,Resource Component of Indirect,Non-Resource Component of Indirect Tax,"Taxes on goods and services,                Total","Taxes on goods and services, of which Taxes on Sales","Taxes on goods and services, of which Excises","Taxes on international trade and transactions, Total",Taxes on international trade and transactions Of which Import,Taxes on international trade and transactions Of which Export,Other taxes,Consolidated Non-Tax Revenue,Non-Resource Component of Non-Tax,Resources Component of Non-Tax,Social contributions,Grants,.,TotRev,TotTax,TotNonTax,Direct,Income,Indiv,Corp,Indirect,GS,Trade,Prob1,Prob2,Prob3,Prob4,twc1,twc2
ABW2001,0,Aruba,ABW,3,4,IMF Country Report,2001,,,,,,,26.60%,21.53%,26.60%,21.53%,,,22.90%,17.84%,0.00%,22.90%,17.84%,15.91%,15.91%,10.84%,10.84%,8.91%,0.00%,8.91%,6.26%,2.65%,0.00%,2.65%,,0.68%,7.00%,0.00%,7.00%,3.08%,0.00%,3.08%,3.61%,2.88%,,0.31%,3.69%,,,5.07%,0.00%,,21.53%,17.84%,3.69%,10.84%,8.91%,6.26%,2.65%,7.00%,3.08%,3.61%,,,,,,
ABW2002,0,Aruba,ABW,3,4,IMF Country Report,2002,,,,,,,27.34%,22.06%,26.25%,20.97%,,,23.10%,17.82%,0.00%,23.10%,17.82%,16.12%,16.12%,10.83%,10.83%,8.81%,0.00%,8.81%,6.52%,2.29%,0.00%,2.29%,,0.80%,6.99%,0.00%,6.99%,3.19%,0.00%,3.19%,3.48%,3.05%,,0.32%,2.05%,,,5.28%,1.09%,,20.97%,17.82%,3.15%,10.83%,8.81%,6.52%,2.29%,6.99%,3.19%,3.48%,,,,,,
ABW2003,0,Aruba,ABW,3,4,IMF Country Report,2003,,,,,,,33.66%,28.02%,32.80%,27.16%,,,25.11%,19.48%,0.00%,25.11%,19.48%,17.66%,17.66%,12.02%,12.02%,9.63%,0.00%,9.63%,6.64%,2.99%,0.00%,2.99%,,1.20%,7.45%,0.00%,7.45%,3.39%,0.00%,3.39%,3.65%,3.26%,,0.41%,6.82%,,,5.64%,0.86%,,27.16%,19.48%,7.68%,12.02%,9.63%,6.64%,2.99%,7.45%,3.39%,3.65%,,,,,,
ABW2004,0,Aruba,ABW,3,4,IMF Country Report,2004,,,,,,,25.88%,20.96%,25.10%,20.18%,,,22.65%,17.73%,0.00%,22.65%,17.73%,15.21%,15.21%,10.29%,10.29%,8.07%,0.00%,8.07%,6.21%,1.87%,0.00%,1.87%,,0.85%,7.44%,0.00%,7.44%,3.08%,0.00%,3.08%,3.98%,3.32%,,0.38%,1.67%,,,4.92%,0.78%,,20.18%,17.73%,2.45%,10.29%,8.07%,6.21%,1.87%,7.44%,3.08%,3.98%,,,,,,
ABW2005,0,Aruba,ABW,3,4,IMF Country Report,2005,,,,,,,26.26%,21.79%,25.57%,21.10%,,,23.15%,18.68%,0.00%,23.15%,18.68%,15.57%,15.57%,11.10%,11.10%,8.74%,0.00%,8.74%,6.45%,2.29%,0.00%,2.29%,,1.02%,7.58%,0.00%,7.58%,2.98%,0.00%,2.98%,4.25%,3.37%,,0.35%,1.74%,,,4.47%,0.69%,,21.10%,18.68%,2.42%,11.10%,8.74%,6.45%,2.29%,7.58%,2.98%,4.25%,,,,,,
ABW2006,0,Aruba,ABW,3,4,IMF Country Report,2006,,,,,,,27.23%,22.73%,26.47%,21.98%,,,24.11%,19.62%,0.00%,24.11%,19.62%,15.97%,15.97%,11.47%,11.47%,9.16%,0.00%,9.16%,7.09%,2.08%,0.00%,2.08%,,1.02%,8.14%,0.00%,8.14%,2.62%,0.00%,2.62%,5.18%,3.75%,,0.33%,2.36%,,,4.49%,0.75%,,21.98%,19.62%,2.36%,11.47%,9.16%,7.09%,2.08%,8.14%,2.62%,5.18%,,,,,,
ABW2007,0,Aruba,ABW,3,4,IMF Country Report,2007,,,,,,,26.36%,22.02%,25.63%,21.29%,,,23.13%,18.79%,0.00%,23.13%,18.79%,16.35%,16.35%,15.17%,15.17%,6.67%,0.00%,6.67%,,,,,,1.25%,3.62%,0.00%,3.62%,,,,,,,0.00%,2.51%,,,4.34%,0.73%,,21.29%,18.79%,2.50%,15.17%,6.67%,,,3.62%,,,,,,,,
ABW2008,0,Aruba,ABW,3,4,IMF Country Report,2008,,,,,,,27.33%,27.33%,,21.83%,,,,19.57%,0.00%,,19.57%,,,15.15%,15.15%,7.08%,0.00%,7.08%,,,,,,1.47%,4.42%,0.00%,4.42%,,,,,,,,2.26%,,,,5.51%,,21.83%,19.57%,2.26%,15.15%,7.08%,,,4.42%,,,,,,,,
ABW2009,0,Aruba,ABW,3,4,IMF Country Report,2009,,,,,,,24.80%,24.80%,,23.60%,,,,20.80%,0.00%,,20.70%,,,16.01%,16.01%,7.60%,0.00%,7.60%,,,,,,1.50%,4.69%,0.00%,4.69%,,,,,,,,2.90%,,,,1.20%,,23.60%,20.70%,2.90%,16.01%,7.60%,,,4.69%,,,,,,,,
ABW2010,0,Aruba,ABW,3,4,IMF Country Report,2010,,,,,,,27.70%,27.70%,,27.60%,,,,25.00%,0.00%,,25.10%,,,17.20%,17.20%,8.30%,0.00%,8.30%,,,,,,1.50%,7.90%,0.00%,7.90%,,,,,,,,2.50%,,,,0.10%,,27.60%,25.10%,2.50%,17.20%,8.30%,,,7.90%,,,,,,,,
ABW2011,0,Aruba,ABW,3,4,IMF Country Report,2011,,,,,,,21.50%,21.50%,,21.50%,,,,18.80%,0.00%,,18.91%,,,15.91%,15.91%,7.80%,0.00%,7.80%,,,,,,1.30%,3.00%,0.00%,3.00%,,,,,,,,2.70%,,,,0.00%,,21.50%,18.91%,2.59%,15.91%,7.80%,,,3.00%,,,,,,,,
ABW2012,0,Aruba,ABW,3,4,IMF Country Report,2012,,,,,,,22.44%,22.44%,,22.44%,,,,20.25%,0.00%,,20.35%,,,17.36%,17.36%,9.08%,0.00%,9.08%,,,,,,1.50%,2.99%,0.00%,2.99%,,,,,,,,2.19%,,,,0.00%,,22.44%,20.35%,2.09%,17.36%,9.08%,,,2.99%,,,,,,,,
ABW2013,0,Aruba,ABW,3,4,IMF Country Report,2013,,,,,,,24.67%,24.67%,,24.17%,,,,20.38%,0.00%,,20.39%,,,17.39%,17.39%,8.78%,0.00%,8.78%,,,,,,1.60%,3.00%,0.00%,3.00%,,,,,,,,3.80%,,,,0.50%,,24.17%,20.39%,3.78%,17.39%,8.78%,,,3.00%,,,,,,,,
ADO1980,0,Andorra,ADO,2,4,,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO1981,0,Andorra,ADO,2,4,,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO1982,0,Andorra,ADO,2,4,,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO1983,0,Andorra,ADO,2,4,,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO1984,0,Andorra,ADO,2,4,,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO1985,0,Andorra,ADO,2,4,,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO1986,0,Andorra,ADO,2,4,,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO1987,0,Andorra,ADO,2,4,,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO1988,0,Andorra,ADO,2,4,,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO1989,0,Andorra,ADO,2,4,,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO1990,0,Andorra,ADO,2,4,,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO1991,0,Andorra,ADO,2,4,,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO1992,0,Andorra,ADO,2,4,,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO1993,0,Andorra,ADO,2,4,,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO1994,0,Andorra,ADO,2,4,,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO1995,0,Andorra,ADO,2,4,,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO1996,0,Andorra,ADO,2,4,,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO1997,0,Andorra,ADO,2,4,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO1998,0,Andorra,ADO,2,4,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO1999,0,Andorra,ADO,2,4,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO2000,0,Andorra,ADO,2,4,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO2001,0,Andorra,ADO,2,4,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO2002,0,Andorra,ADO,2,4,,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO2003,0,Andorra,ADO,2,4,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO2004,0,Andorra,ADO,2,4,,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO2005,0,Andorra,ADO,2,4,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO2006,0,Andorra,ADO,2,4,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO2007,0,Andorra,ADO,2,4,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO2008,0,Andorra,ADO,2,4,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO2009,0,Andorra,ADO,2,4,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO2010,0,Andorra,ADO,2,4,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO2011,0,Andorra,ADO,2,4,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO2012,0,Andorra,ADO,2,4,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO2013,0,Andorra,ADO,2,4,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG1980,0,Afghanistan,AFG,6,1,IMF Country Report,1980,,,1,,,,,,16.28%,16.28%,7.17%,9.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.17%,,,,16.28%,,,,,,,,,,,,1,,,
AFG1981,0,Afghanistan,AFG,6,1,IMF Country Report,1981,,,1,,,,,,17.31%,17.31%,7.87%,9.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.87%,,,,17.31%,,,,,,,,,,,,1,,,
AFG1982,0,Afghanistan,AFG,6,1,IMF Country Report,1982,,,1,,,,,,18.74%,18.74%,8.51%,10.23%,6.21%,6.21%,0.00%,6.21%,6.21%,,,,,,,,,,,,,,,,,,,,,,,,12.53%,4.02%,8.51%,,,,18.74%,6.21%,12.53%,,,,,,,,,,1,,,
AFG1983,0,Afghanistan,AFG,6,1,IMF Country Report,1983,,,1,,,,,,19.83%,19.83%,8.78%,11.05%,7.67%,7.67%,0.00%,7.67%,7.67%,,,,,,,,,,,,,,,,,,,,,,,,12.21%,3.43%,8.78%,,,,19.83%,7.67%,12.15%,,,,,,,,,,1,,,
AFG1984,0,Afghanistan,AFG,6,1,IMF Country Report,1984,,,1,,,,,,25.35%,25.35%,8.12%,17.23%,9.53%,9.53%,0.00%,9.53%,9.53%,,,,,,,,,,,,,,,,,,,,,,,,15.82%,7.70%,8.12%,,,,25.35%,9.53%,15.82%,,,,,,,,,,1,,,
AFG1985,0,Afghanistan,AFG,6,1,IMF Country Report,1985,,,1,,,,,,30.58%,30.58%,10.29%,20.29%,10.77%,10.77%,0.00%,10.77%,10.77%,,,,,,,,,,,,,,,,,,,,,,,,19.81%,9.52%,10.29%,,,,30.58%,10.77%,19.81%,,,,,,,,,,1,,,
AFG1986,0,Afghanistan,AFG,6,1,IMF Country Report,1986,,,1,,,,,,35.41%,35.41%,9.23%,26.19%,12.97%,12.97%,0.00%,12.97%,12.97%,,,,,,,,,,,,,,,,,,,,,,,,22.50%,13.27%,9.23%,,,,35.41%,12.97%,22.44%,,,,,,,,,,1,,,
AFG1987,0,Afghanistan,AFG,6,1,IMF Country Report,1987,,,1,,,,,,41.00%,41.00%,10.61%,30.39%,15.47%,15.47%,0.00%,15.47%,15.47%,,,,,,,,,,,,,,,,,,,,,,,,25.53%,14.92%,10.61%,,,,41.00%,15.47%,25.53%,,,,,,,,,,1,,,
AFG1988,0,Afghanistan,AFG,6,1,IMF Country Report,1988,,,1,,,,,,38.72%,38.72%,3.78%,34.94%,17.88%,17.88%,0.00%,17.88%,17.88%,,,,,,,,,,,,,,,,,,,,,,,,20.84%,17.06%,3.78%,,,,38.72%,17.88%,20.84%,,,,,,,,,,1,,,
AFG1989,0,Afghanistan,AFG,6,1,IMF Country Report,1989,,,1,,,,,,,28.80%,0.00%,28.80%,15.43%,15.43%,0.00%,15.43%,15.43%,,,,,,,,,,,,,,,,,,,,,,,,13.36%,13.36%,0.00%,,,,28.80%,15.43%,13.36%,,,,,,,,,,1,,,
AFG1990,0,Afghanistan,AFG,6,1,,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG1991,0,Afghanistan,AFG,6,1,,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG1992,0,Afghanistan,AFG,6,1,,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG1993,0,Afghanistan,AFG,6,1,,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG1994,0,Afghanistan,AFG,6,1,,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG1995,0,Afghanistan,AFG,6,1,,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG1996,0,Afghanistan,AFG,6,1,,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG1997,0,Afghanistan,AFG,6,1,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG1998,0,Afghanistan,AFG,6,1,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG1999,0,Afghanistan,AFG,6,1,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG2000,0,Afghanistan,AFG,6,1,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG2001,0,Afghanistan,AFG,6,1,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG2002,0,Afghanistan,AFG,6,1,IMF Country Report,2002,,,,,,,8.42%,8.42%,3.23%,3.23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19%,,3.23%,,,,,,,,,,,,,,,
