,"This sheet can be used to alter whether central or general government data is used in the 'merged' sheet for a given country.  Where the column “general” contains a 1, general government data is used, and the tables update automatically when the value is changed.",,,,,,,"(NB this feature is only availabe in ""…CentralGeneralMergedFull"")"
LVA,Latvia,1,"General is significantly higher, but using it does result in some lose of coverage for the tax series",,ESA 1995,0,2010,
MAC,"Macao SAR, China",0,,,-,0,,
MAF,St. Martin (French part),0,,,-,0,-,
MAR,Morocco,0,,,SNA 1993,0,1998,
MCO,Monaco,0,,,-,0,-,
MDA,Moldova,1,General data is higher and with better data completeness,,SNA 1993,0,1995,
MDG,Madagascar,0,,,Other,0,2000,
MDV,Maldives,0,,,SNA 1993,0,2003,
MEX,Mexico,0,"General data is only slightly higher, while Central data offers dramatically better coverage and accuracy, including data on resource revenues and taxes",,SNA 1993,0,2008,
MHL,Marshall Islands,0,,,Other,0,2003/04,
MKD,"Macedonia, FYR",0,,,ESA 2010,1,2005,
MLI,Mali,0,,,SNA 1993,0,1987,
MLT,Malta,0,,,ESA 2010,1,2010,
MMR,Myanmar,0,"Hard to say which is better, as each involves some data loss.  Could likely be merged together, moving general to central.",,Other,0,2010/11,
MNE,Montenegro,1,,,ESA 1995,0,2006,
MNG,Mongolia,1,"Longer time series, and ability to deal with resource revenue, when using General data",,SNA 1993,0,2010,
MOZ,Mozambique,0,,,SNA 1993,0,2009,
MRT,Mauritania,0,,,SNA 1993,0,1998,
MUS,Mauritius,0,,,SNA 1993,0,2006,
MWI,Malawi,0,,,SNA 2008,1,2007,
MYS,Malaysia,0,,,SNA 2008,1,2005,
NAM,Namibia,0,,,SNA 1993,0,2000,
NER,Niger,0,,,SNA 1993,0,2000,
NGA,Nigeria,1,Dramatically better data accuracy and coverage,,SNA 2008,1,2010,
NIC,Nicaragua,0,"Data is similar, while Central offers dramatically longer time coverage",,SNA 1993,0,2006,
NLD,Netherlands,1,,,ESA 2010,1,2010,
NOR,Norway,0,"We would ideally use General Government data, which has somewhat higher tax and revenue figures, but it is only possible to account for resource revenues using central government data.  We judge this benefit as outweighing the drawbacks of using Central Government data, as Norway is a relatively centralized state and the discrepancies are thus not overly large.",,ESA 2010,1,2012,
NPL,Nepal,0,,,SNA 1993,0,2000/01,
NZL,New Zealand,1,,,SNA2008,1,2009/10,
OMN,Oman,0,,,SNA 1993,0,2010,
PAK,Pakistan,0,"Data is almost identical, while central offers a longer and more complete time series",,SNA 1968/1993,0,2005/06,
PAN,Panama,0,"Data is almost identical, while central offers a longer and more complete time series",,SNA 1993,0,1996,
PER,Peru,0,,,SNA 1993,0,2007,
PHL,Philippines,0,,,SNA 2008,1,2000,
PLW,Palau,0,,,Other,0,2005,
PNG,Papua New Guinea,0,,,SNA 1993,0,1998,
POL,Poland,1,"Very similar, but general includes social and is generally higher",,ESA 2010,1,2010,
PRI,Puerto Rico,0,,,-,0,-,
PRK,"Korea, Dem. Rep.",0,,,-,0,-,
PRT,Portugal,1,,,ESA 2010,1,2011,
PRY,Paraguay,0,"General is slightly higher, but the difference is largely social security and implies significant loss of data",,SNA 1993,0,1994,
QAT,Qatar,0,,,SNA 1993,0,2004,
ROM,Romania,1,General is slightly higher and better coverage,,ESA 2010,1,2010,
RUS,Russian Federation,1,,,SNA 1993,0,2008,
RWA,Rwanda,0,,,SNA 1993,0,,
SAU,Saudi Arabia,0,,,SNA 1993,0,2010,
SDN,Sudan,0,,,Other,0,2007,
SEN,Senegal,0,,,SNA 1993,0,2000,
SGP,Singapore,0,,,SNA 1993,0,2010,
SLB,Solomon Islands,0,,,SNA 1993,0,2004,
SLE,Sierra Leone,0,,,SNA 1993,0,2006,
SLV,El Salvador,0,"Numbers are almost identical, but Central offers significantly more disaggregated information",,Other,0,1990,
SMR,San Marino,0,,,Other,0,2007,
SOM,Somalia,0,,,-,0,-,
SRB,Serbia,1,"Slightly less coverage, but data is much higher.  Moreover, use of central suggests massive increase in collection – but this is actually centralization, as General Government revenue is quite static",,ESA 2010,1,2010,
SSD,South Sudan,0,,,SNA 1993,0,2010,
STP,Sao Tome and Principe,0,,,SNA 1993,0,2000,
SUR,Suriname,0,,,SNA 1993,0,2007,
SVK,Slovak Republic,1,"Similar data coverage, but general is higher, largely as a result of social",,ESA 2010,1,2010,
SVN,Slovenia,1,"Similar data coverage, but general is higher, largely as a result of social",,ESA 2010,1,2000,
SWE,Sweden,1,,,ESA 2010,1,2013,
SWZ,Swaziland,0,,,SNA 1993,0,2000,
SYC,Seychelles,0,,,SNA 1993,0,2006,
SYR,Syrian Arab Republic,1,General gives us a longer data series in which it is possible to account for resource revenues,,SNA 1993,0,2000,
TCA,Turks and Caicos Islands,0,,,-,0,-,
TCD,Chad,0,,,Other,0,2005,
TGO,Togo,0,,,SNA 1993,0,2000,
THA,Thailand,1,"Very similar and with identical time coverage.  Either would be fine, but general is slightly higher, so opt for it.",,SNA 1993,0,1988,
TJK,Tajikistan,1,,,SNA 1993,0,1995,
TKM,Turkmenistan,0,,,SNA 1993,0,2005,
TMP,Timor-Leste,0,,,Other,0,2010,
TON,Tonga,0,,,SNA 1993,0,2010/11,
TTO,Trinidad and Tobago,0,"General slightly higher, but central offers a much better time series and difference between the two are largely non resource non tax",,SNA 1993,0,2000,
TUN,Tunisia,0,,,SNA 1993,0,2004,
TUR,Turkey,1,,,SNA 1993/ESA 1995,0,1998,
TUV,Tuvalu,0,,,Other,0,2005,
TZA,Tanzania,0,,,SNA 1993,0,2007,
UGA,Uganda,0,,,SNA 1993,0,2009/10,
UKR,Ukraine,1,,,SNA 2008,1,2010,
URY,Uruguay,0,"Very similar.  General government is slightly higher for some years, but no coverage pre-1990.  Central offers coverage of the 1980s.",,SNA 1993,0,2005,
USA,United States,1,,,SNA2008,1,2009,
UZB,Uzbekistan,1,,,SNA 1993,0,1995,
VCT,St. Vincent and the Grenadines,0,,,SNA 1993,0,2006,
VEN,"Venezuela, RB",0,"General has less coverage, and no total revenue figures, while tax figures are almost identical",,SNA 2008,1,1997,
VNM,Vietnam,1,,,SNA 1993,0,2010,
VUT,Vanuatu,0,,,SNA 1993,0,2006,
WBG,West Bank and Gaza,0,,,-,0,-,
WSM,Samoa,0,,,SNA 1993,0,2009,
YEM,"Yemen, Rep.",0,,,SNA 1993,0,1990,
ZAF,South Africa,1,"General data does not explicitly deal with resource revenue, but seems largely to exclude it from tax, while it has the advantage of more effective capturing of non tax and social in particular.  Close call.",,SNA 1993,0,2010,
ZAR,"Congo, Dem. Rep.",0,,,SNA 1993,0,2005,
ZMB,Zambia,0,,,SNA 1993,0,2010,
ZWE,Zimbabwe,0,,,Other,0,2009,
